"CODICE CORSO DI STUDI";"CORSO DI STUDI";"CODICE TIPOLOGIA";TIPOLOGIA;URL;
007923;"CITOPATOLOGIA DIAGNOSTICA DEGLI SCREENING DI POPOLAZIONE";M1;"Master di Primo Livello";;
102116;"MANAGEMENT DEI SISTEMI QUALITA' E DI ACCREDITAMENTO NELLE ISTITUZIONI SCOLASTICHE ED UNIVERSITARIE";M2;"Master di Secondo Livello";;
700943;"ANDROLOGIA - ANDREA TAMAGNONE";M2;"Master di Secondo Livello";;
012501;"LINGUE E LETTERATURE MODERNE";LM;"Laurea Magistrale";http://www.dipartimentolingue.unito.it/lingueletteraturemagistrale/oss-home.asp;
012505;TRADUZIONE;LM;"Laurea Magistrale";http://www.dipartimentolingue.unito.it/traduzione/oss-home.asp;
102120;"MANAGEMENT DELLE AZIENDE PUBBLICHE E DELLE AZIENDE DI PUBBLICO SERVIZIO";M1;"Master di Primo Livello";;
700963;"COLO - PROCTOLOGIA";M2;"Master di Secondo Livello";;
006120;"ORIENTAMENTO E CONSULENZA NEI CONTESTI SCOLASTICI E PROFESSIONALI";M2;"Master di Secondo Livello";;
092129;"GESTIONE DEI SERVIZI BANCARI E FINANZIARI (FINANCIAL BANKING AND BUSINESS MANAGEMENT)";M1;"Master di Primo Livello";;
070724;"TECNICHE DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO)";L;"Laurea triennale (DM270)";http://tpall.campusnet.unito.it/cgi-bin/home.pl;
700950;"MICROENDODONZIA CLINICA E CHIRURGICA";M2;"Master di Secondo Livello";;
090123;"INFERMIERE DI FAMIGLIA E DI COMUNITA'";M1;"Master di Primo Livello";;
700951;"SORVEGLIANZA E CONTROLLO DELL'INFEZIONI CORRELATE ALL'ASSISTENZA";M1;"Master di Primo Livello";;
700952;"COORDINAMENTO E ORGANIZZAZIONE PER LE PROFESSIONI SANITARIE DELLA RIABILITAZIONE";M1;"Master di Primo Livello";;
700953;"POSIZIONAMENTO E GESTIONE DEGLI ACCESSI VASCOLARI A BREVE E LUNGO TERMINE";M1;"Master di Primo Livello";;
012108;"TRADUZIONE PER IL CINEMA, LA TELEVISIONE E L'EDITORIA MULTIMEDIALE";M1;"Master di Primo Livello";;
011103;"COMPETENZE RELAZIONALI PER INSEGNANTI CHE INTERAGISCONO CON ALUNNI E FAMIGLIE IN DIFFICOLTA'";M2;"Master di Secondo Livello";;
012104;"PROMOZIONE E ORGANIZZAZIONE TURISTICO-CULTURALE DEL TERRITORIO";M1;"Master di Primo Livello";;
700957;"MALATTIE METABOLICHE DELL'OSSO";M2;"Master di Secondo Livello";;
070710;"TECNICHE AUDIOMETRICHE (ABILITANTE ALLA PROFESSIONE SANITARIA DI AUDIOMETRISTA)";L;"Laurea triennale (DM270)";http://medaudiomet.campusnet.unito.it/cgi-bin/home.pl;
092131;"AUDITING, ACCOUNTING AND CONTROL";M1;"Master di Primo Livello";;
092125;"GESTIONE DEI SERVIZI BANCARI E FINANZIARI (FINANCIAL BANKING AND BUSINESS MANAGEMENT)";M1;"Master di Primo Livello";;
091501;"ATTIVITÀ MANAGERIALE APPLICATA ALLO SPORT ED ALL'ATTIVITÀ FISICA";LM;"Laurea Magistrale";http://www.suism.unito.it;
307281;"ODONTOIATRIA PEDIATRICA";CPA;"Corso di Perfezionamento";;
005110;"COMUNICAZIONE SOCIO SANITARIA";M1;"Master di Primo Livello";;
102201;"SCAMBI INTERNAZIONALI";LS;"Laurea specialistica";www.econ.unito.it;
102204;"ECONOMIA E DIREZIONE DELLE IMPRESE";LS;"Laurea specialistica";www.econ.unito.it;
009322;"SCIENZE DELL'AMMINISTRAZIONE E CONSULENZA DEL LAVORO (GIÀ CDL SCIENZE DELL'AMMINISTRAZIONE E DELL'ORGANIZZAZIONE E CDL CONSULENZA DEL LAVORO E GESTIONE DELLE RISORSE)";LT;"Laurea triennale (DM509)";;
007821;"MEDICINA INTERNA";SP5;"Scuola di Specializzazione";;
007835;"DERMATOLOGIA E VENEREOLOGIA";SP5;"Scuola di Specializzazione";;
092108;AUDITING;M1;"Master di Primo Livello";;
007841;"SCIENZA DELL'ALIMENTAZIONE";SP5;"Scuola di Specializzazione";;
007824;NEFROLOGIA;SP5;"Scuola di Specializzazione";;
007825;NEUROCHIRURGIA;SP6;"Scuola di Specializzazione";;
090711;"CONSERVAZIONE E RESTAURO DEI BENI CULTURALI";L;"Laurea triennale (DM270)";http://conservazionerestauro.campusnet.unito.it/;
700972;"ECOGRAFIA  DIAGNOSTICA E INTERVENTISTICA DEL COLLO";M2;"Master di Secondo Livello";;
005513;"STORIA DELL'ARTE";LM;"Laurea Magistrale";http://www.lettere.unito.it/do/home.pl;
071807;"ONCOLOGIA MEDICA";SP5;"Scuola di Specializzazione";;
057101;"A043 - ITALIANO, STORIA E GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO";TFA;"Tirocinio formativo attivo";;
057211;"A246 - LINGUA E CIVILTÀ STRANIERA (FRANCESE)";TFA;"Tirocinio formativo attivo";;
057212;"A346 - LINGUA E CIVILTÀ STRANIERA (INGLESE)";TFA;"Tirocinio formativo attivo";;
004505;"SCIENZE AMMINISTRATIVE E GIURIDICHE DELLE ORGANIZZAZIONI PUBBLICHE E PRIVATE";LM;"Laurea Magistrale";http://www.giurisprudenza.unito.it/do/home.pl/View?doc=scienze_amministrative_giuridiche_organizzazioni_pubbliche_private.html;
057206;"A049 - MATEMATICA E FISICA";TFA;"Tirocinio formativo attivo";;
008109;"PROCESSI PRODUTTIVI CHIMICO-BIOLOGICI";M2;"Master di Secondo Livello";;
303202;"FARMACISTA OSPEDALIERO DI REPARTO";CPA;"Corso di Perfezionamento";;
700975;"MALATTIE PEDIATRICHE COMPLESSE";M1;"Master di Primo Livello";;
102402;"LEADERSHIP, MANAGEMENT E QUALITA' NELLA DIRIGENZA DEL MIUR";CAFP;"Corsi di alta formazione professionale";;
092141;"MANAGEMENT DEL PATRIMONIO IMMOBILIARE";M1;"Master di Primo Livello";;
008111;"SERVIZI SOFTWARE E CLOUD COMPUTING";M1;"Master di Primo Livello";;
102128;"RETAIL MARKETING E STORE MANAGEMENT";M1;"Master di Primo Livello";;
M11004;"BUSINESS ADMINISTRATION (ENGLISH VERSION)";M1;"Master di Primo Livello";;
PAS008;"A029 - EDUCAZIONE FISICA NEGLI ISTITUTI E SCUOLE DI ISTRUZIONE SECONDARIA II GRADO";PAS;"Percorso abilitante speciale";;
PAS011;"A037 - FILOSOFIA E STORIA";PAS;"Percorso abilitante speciale";;
PAS012;"A038 - FISICA";PAS;"Percorso abilitante speciale";;
M21009;"DIRITTO TRIBUTARIO";M2;"Master di Secondo Livello";;
055501;"SCIENZE STRATEGICHE E MILITARI";LS;"Laurea specialistica";http://www.suiss.unito.it/do/home.pl;
M22005;"TECNICHE CHIRURGICHE AVANZATE IN MICRONEUROCHIRURGIA";M2;"Master di Secondo Livello";;
CFP006;"GLI ACQUISTI DI BENI E SERVIZI NELL'ISTRUZIONE PUBBLICA: PROCEDURE IN ECONOMIA, ACQUISIZIONI SOTTO-SOGLIA E MERCATO ELETTRONICO";CAFP;"Corsi di alta formazione professionale";;
CFP007;"LA PUBBLICA AMMINISTRAZIONE CHE SI RINNOVA: LE PROCEDURE DI ACQUISTO E LA GESTIONE DELLE RISORSE UMANE NELLE PIU' RECENTI RIFORME";CAFP;"Corsi di alta formazione professionale";;
CFP014;"METODI QUANTITATIVI PER IL MANAGEMENT DEI SERVIZI SANITARI";CAFP;"Corsi di alta formazione professionale";;
CFP029;"IL RISK MANAGEMENT COME STRUMENTO DI PREVENZIONE DEI REATI NELLA PUBBLICA AMMINISTRAZIONE: CRITERI DI APPLICAZIONE DELLA L. 190/2012";CAFP;"Corsi di alta formazione professionale";;
CFP032;"CONTROLLI ANTICORRUZIONE E TRASPARENZA NELLA GESTIONE DELLE AMMINISTRAZIONI PUBBLICHE L. 190/2012";CAFP;"Corsi di alta formazione professionale";;
TFA024;"A014 - CIRCOLAZIONE AEREA TELECOMUNICAZIONI AERONAUTICHE ED ESERCITAZIONI";TFA;"Tirocinio formativo attivo";;
M11001;"SALUTE ORALE NELLE COMUNITA' SVANTAGGIATE E NEI PAESI A BASSO REDDITO";M1;"Master di Primo Livello";;
M21005;"ORTOGNATODONZIA CLINICA";M2;"Master di Secondo Livello";;
001711;"SCIENZE FORESTALI E AMBIENTALI";L;"Laurea triennale (DM270)";http://agraria-offdid.campusnet.unito.it/do/home.pl/View?doc=paginecds/sc_forestali_270.html;
CPA002;"LA PREPARAZIONE FISICA NEGLI SPORT DI COMBATTIMENTO: ELEMENTI DI TRASVERSALITA'";CPA;"Corso di Perfezionamento";;
1103M21;"DIREZIONE D'IMPRESA, MARKETING E STRATEGIA";LM;"Laurea Magistrale";http://www.ecodir.unito.it;
0207M21;"SCIENZA DEI MATERIALI PER I BENI CULTURALI";LM;"Laurea Magistrale";http://stbeniculturali.campusnet.unito.it/do/home.pl;
PAS021;"C050 - ESERCITAZIONI AGRARIE";PAS;"Percorso abilitante speciale";;
PASA01;"A043 - ITALIANO, STORIA E GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO (UPO)";PAS;"Percorso abilitante speciale";;
PASP04;"A035 - ELETTROTECNICA ED APPLICAZIONI";PAS;"Percorso abilitante speciale";;
PAS024;"A345 - LINGUA STRANIERA (INGLESE)";PAS;"Percorso abilitante speciale";;
PAS025;"A445 - LINGUA STRANIERA (SPAGNOLO)";PAS;"Percorso abilitante speciale";;
PAS027;"A346 - LINGUA E CIVILTA' STRANIERA (INGLESE)";PAS;"Percorso abilitante speciale";;
M11009;"COMPARATIVE LAW, ECONOMICS AND FINANCE";M1;"Master di Primo Livello";;
TFA043;"A008 - ARTI DELLA GRAFICA E DELL'INCISIONE";TFA;"Tirocinio formativo attivo";;
TFA052;"A058 - SCIENZE E MECCANICA AGRARIA, TECNICHE DI GESTIONE AZIENDALE, FITOPATOLOGIA ED ENTOMOLOGIA AGRARIA";TFA;"Tirocinio formativo attivo";;
TFA055;"A060 - SCIENZE NATURALI, CHIMICA E GEOGRAFIA, MICROBIOLOGIA";TFA;"Tirocinio formativo attivo";;
M12008;"MALATTIE RARE";M1;"Master di Primo Livello";;
M11025;"ACCESSI VASCOLARI: IMPIANTO E GESTIONE";M1;"Master di Primo Livello";;
M12013;"MINDFULLNESS CLINICA E RELAZIONALE";M1;"Master di Primo Livello";;
008224;"EVOLUZIONE DEL COMPORTAMENTO ANIMALE E DELL'UOMO";LS;"Laurea specialistica";http://www.naturali.unito.it/snnew2liv.html;
055201;"SCIENZE STRATEGICHE E POLITICO-ORGANIZZATIVE";LS;"Laurea specialistica";www.scienzestrat.unito.it;
001210;"AGROECOLOGIA (GIÀ C.D.L. SPEC. IN DIFESA ECOCOMPATIBILE DELLE PIANTE E C.D.L. SPEC. IN AGROINGEGNERIA GESTIONALE E DEL TERRITORIO)";LS;"Laurea specialistica";www.agraria.unito.it;
010301;"PRODUZIONI ANIMALI, GESTIONE E CONSERVAZIONE DELLA FAUNA";LT;"Laurea triennale (DM509)";www.veter.unito.it;
005302;FILOSOFIA;LT;"Laurea triennale (DM509)";www.lettere.unito.it;
005307;"SCIENZE DEI BENI CULTURALI";LT;"Laurea triennale (DM509)";www.lettere.unito.it;
070311;"TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
CS0002;"CORSO DI ITALIANO INTERMEDIO PER STUDENTI ERASMUS";CS;"Corso Singolo";;
090501;"PSICOBIOLOGIA DEL COMPORTAMENTO UMANO";LM;"Laurea Magistrale";www.psicobiologia.unito.it;
011501;PSICOLOGIA;LM;"Laurea Magistrale";www.psicologia.unito.it;
009707;"SCIENZE STATISTICHE";L;"Laurea triennale (DM270)";http://www.didattica-est.unito.it/do/home.pl/View?doc=corsi_di_laurea_triennale/scienze_statistiche_l41.html;
008234;"CONSERVAZIONE E BIODIVERSITÀ ANIMALE";LS;"Laurea specialistica";www.biologia.unito.it;
008215;"METODOLOGIE E SISTEMI INFORMATICI";LS;"Laurea specialistica";www.educ.di.unito.it;
012307;"SCIENZE DELLA MEDIAZIONE LINGUISTICA";LT;"Laurea triennale (DM509)";www.lingue.unito.it;
001303;"TECNOLOGIE ALIMENTARI PER LA RISTORAZIONE";LT;"Laurea triennale (DM509)";www.agraria.unito.it;
009205;"STUDI EUROPEI";LS;"Laurea specialistica";www.scipol.unito.it;
011205;"GESTIONE DELLE RISORSE UMANE E SVILUPPO ORGANIZZATIVO";LS;"Laurea specialistica";www.psicologia.unito.it;
007501;"ODONTOIATRIA E PROTESI DENTARIA";LC5;"Laurea Ciclo Unico 5 anni";www.clopd.unito.it;
005204;"CORSO DI LAUREA SPECIALISTICA IN STORIA";LS;"Laurea specialistica";www.lettere.unito.it;
090312;"MATEMATICA PER LA FINANZA E L'ASSICURAZIONE";LT;"Laurea triennale (DM509)";www.scienzemfn.unito.it;
008315;"OTTICA E OPTOMETRIA";LT;"Laurea triennale (DM509)";www.ph.unito.it;
011208;"PSICOLOGIA CRIMINALE E INVESTIGATIVA";LS;"Laurea specialistica";www.psicologia.unito.it;
008219;"METODOLOGIE CHIMICHE AVANZATE";LS;"Laurea specialistica";http://www.ccs-ch.unito.it;
008222;"ANALISI E GESTIONE DELL'AMBIENTE";LS;"Laurea specialistica";http://www.naturali.unito.it;
008707;INFORMATICA;L;"Laurea triennale (DM270)";http://www.educ.di.unito.it/index.html;
003702;"INFORMAZIONE SCIENTIFICA SUL FARMACO";L;"Laurea triennale (DM270)";http://www.farmacia-dstf.unito.it/do/home.pl/View?doc=corso_isf.html;
008701;CHIMICA;L;"Laurea triennale (DM270)";"http:\\chimica.campusnet.unito.it";
001501;"SCIENZE AGRARIE";LM;"Laurea Magistrale";http://agraria-offdid.campusnet.unito.it/do/home.pl/View?doc=paginecds/sc_agrarie_270_magistrale.html;
004503;"STUDI GIURIDICI EUROPEI";LM;"Laurea Magistrale";http://www.giurisprudenza.unito.it/do/home.pl/View?doc=Corsi_di_laurea/2013_14/Studi_giuridici_europei_2013_14.html;
003504;"CHIMICA E TECNOLOGIA FARMACEUTICHE";LM5;"Laurea Magistrale Ciclo Unico 5 anni";http://www.farmacia-dstf.unito.it/do/home.pl/View?doc=Chimica_e_Tecnologia_Farmaceutiche.html;
008520;"CHIMICA DELL'AMBIENTE";LM;"Laurea Magistrale";http://chimicaambiente.campusnet.unito.it/do/home.pl;
090304;"EDUCAZIONE PROFESSIONALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI EDUCATORE PROFESSIONALE)";LT;"Laurea triennale (DM509)";http://eduprof.campusnet.unito.it;
005709;"BENI CULTURALI ARCHIVISTICI E LIBRARI";L;"Laurea triennale (DM270)";http://beniculturali.campusnet.unito.it/do/home.pl;
006502;"DISCIPLINE CINEMATOGRAFICHE. STORIA, TEORIA, PATRIMONIO";LM;"Laurea Magistrale";http://sciformspec.campusnet.unito.it;
008503;"GEOSCIENZE, GEORISORSE E GEOMATERIALI";LM;"Laurea Magistrale";http://geologia.campusnet.unito.it;
092121;"IT GOVERNANCE AND COMPLIANCE";M1;"Master di Primo Livello";;
092114;"INFORMATION TECHNOLOGY AND BUSINESS PROCESS MANAGEMENT";M1;"Master di Primo Livello";;
004111;"INTERNATIONAL TRADE LAW";M1;"Master di Primo Livello";;
290503;"EVOLUZIONE DEL COMPORTAMENTO ANIMALE E DELL'UOMO";LM;"Laurea Magistrale";http://naturali.campusnet.unito.it/cgi-bin/home.pl/View?doc=lm_ecau.html;
011801;"PSICOLOGIA CLINICA";SP5;"Scuola di Specializzazione";;
007922;"PROTESI DENTARIA";M2;"Master di Secondo Livello";;
090114;"PUBLIC PROCUREMENT (GESTIONE DEGLI APPALTI PUBBLICI)";M2;"Master di Secondo Livello";;
070711;"TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO)";L;"Laurea triennale (DM270)";http://biomedico.campusnet.unito.it;
700945;"ASSISTENZA INFERMIERISTICA IN SALA OPERATORIA";M1;"Master di Primo Livello";;
071104;"ALLERGOLOGIA PEDIATRICA";M2;"Master di Secondo Livello";;
004112;"DIRITTO TRIBUTARIO. TRIBUTI, PROCEDIMENTI E PROCESSO TRA EFFICIENZA E GIUSTIZIA";M1;"Master di Primo Livello";;
700964;"CURE PALLIATIVE E DI FINE VITA";M1;"Master di Primo Livello";;
012107;"VIAGGI MEDITERRANEI: ITINERARI TURISTICI, COMUNICAZIONE E CULTURE";M1;"Master di Primo Livello";;
006117;"DISTURBI DI LETTURA, SCRITTURA E CALCOLO. VALUTAZIONE E INTERVENTO NEI CONTESTI SCOLASTICI";M2;"Master di Secondo Livello";;
090111;"SCIENZA E TECNOLOGIA DELL'ALIMENTAZIONE E NUTRIZIONE UMANA";M2;"Master di Secondo Livello";;
007901;"NURSING ONCOLOGICO";M1;"Master di Primo Livello";;
102109;"PRIVATE BANKING";M1;"Master di Primo Livello";;
003101;"FARMACIA TERRITORIALE ""CHIARA COLOMBO""";M2;"Master di Secondo Livello";;
700965;"ENDOSCOPIA DIGESTIVA OPERATIVA";M2;"Master di Secondo Livello";;
070720;"IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE)";L;"Laurea triennale (DM270)";http://igdentale.campusnet.unito.it/cgi-bin/home.pl;
008716;"SCIENZA E TECNOLOGIA DEI MATERIALI";L;"Laurea triennale (DM270)";http://stmateriali.campusnet.unito.it/do/home.pl;
070503;"SCIENZE INFERMIERISTICHE E OSTETRICHE";LM;"Laurea Magistrale";http://lsscio.campusnet.unito.it/;
071505;"SCIENZE RIABILITATIVE DELLE PROFESSIONI SANITARIE";LM;"Laurea Magistrale";http://scienzariabilitazione.campusnet.unito.it/cgi-bin/home.pl;
092135;"INFORMATION TECHNOLOGY AND BUSINESS PROCESS MANAGEMENT";M1;"Master di Primo Livello";;
012109;"AMERICAN STUDIES";M1;"Master di Primo Livello";;
007602;"MEDICINA E CHIRURGIA (ORBASSANO)";LC6;"Laurea Ciclo Unico 6 anni";www.medicina.unito.it;
070203;"CORSO DI LAUREA SPECIALISTICA IN SCIENZE INFERMIERISTICHE E OSTETRICHE";LS;"Laurea specialistica";www.medicina.unito.it;
007829;"ORTOPEDIA E TRAUMATOLOGIA";SP5;"Scuola di Specializzazione";;
007842;"MEDICINA DELLO SPORT";SP5;"Scuola di Specializzazione";;
007837;OTORINOLARINGOIATRIA;SP5;"Scuola di Specializzazione";;
092116;"BUSINESS ADMINISTRATION";M1;"Master di Primo Livello";;
092106;"MANAGEMENT DELL'ORGANIZZAZIONE E DELLA PROMOZIONE TURISTICA";M1;"Master di Primo Livello";;
007813;GERIATRIA;SP5;"Scuola di Specializzazione";;
007809;"CHIRURGIA PLASTICA, RICOSTRUTTIVA ED ESTETICA";SP5;"Scuola di Specializzazione";;
007817;"MALATTIE INFETTIVE";SP5;"Scuola di Specializzazione";;
007803;"MICROBIOLOGIA E VIROLOGIA";SP5;"Scuola di Specializzazione";;
008527;"CHIMICA CLINICA, FORENSE E DELLO SPORT";LM;"Laurea Magistrale";http://ccfs.campusnet.unito.it/do/home.pl;
290501;"FISICA DEI SISTEMI COMPLESSI";LM;"Laurea Magistrale";http://fisica-sc.campusnet.unito.it/do/home.pl;
071805;"MEDICINA INTERNA";SP5;"Scuola di Specializzazione";;
092115;"GESTIONE E INNOVAZIONE FINANZIARIA DELLA PMI";M1;"Master di Primo Livello";;
071804;"CHIRURGIA GENERALE";SP6;"Scuola di Specializzazione";;
057105;"A545 - LINGUA STRANIERA (TEDESCO)";TFA;"Tirocinio formativo attivo";;
057213;"A446 - LINGUA E CIVILTÀ STRANIERA (SPAGNOLO)";TFA;"Tirocinio formativo attivo";;
057209;"A052 - MATERIE LETTERARIE, LATINO E GRECO NEL LICEO CLASSICO";TFA;"Tirocinio formativo attivo";;
009114;"PUBLIC POLICY AND SOCIAL CHANGE - EUROPEAN AND GLOBAL PERSPECTIVES";M2;"Master di Secondo Livello";;
057215;"A020 - DISCIPLINE MECCANICHE E TECNOLOGIA";TFA;"Tirocinio formativo attivo";;
057216;"A035 - ELETTROTECNICA ED APPLICAZIONI";TFA;"Tirocinio formativo attivo";;
057217;"A042 - INFORMATICA";TFA;"Tirocinio formativo attivo";;
001105;"PROGETTAZIONE DI GIARDINI, PARCHI E PAESAGGIO";M2;"Master di Secondo Livello";;
2303M21;"ECONOMIA E MANAGEMENT";LM;"Laurea Magistrale";http://www.ecoman.unito.it/do/home.pl;
700981;"CURE PALLIATIVE PER MEDICI SPECIALISTI";M2;"Master di Secondo Livello";;
2604M21;"SCIENZE STORICHE";LM;"Laurea Magistrale";http://scienzestoriche.campusnet.unito.it;
090131;"PROGETTAZIONE E MANAGEMENT DEL MULTIMEDIA PER LA COMUNICAZIONE";M1;"Master di Primo Livello";;
009402;"LA GESTIONE DI INTERVENTI PER LE POLITICHE DI WELFARE";CAFP;"Corsi di alta formazione professionale";;
M21004;"ODONTOIATRIA PEDIATRICA";M2;"Master di Secondo Livello";;
PAS004;"A059 - MATEMATICHE E SCIENZE NELLA SCUOLA SECONDARIA DI I GRADO";PAS;"Percorso abilitante speciale";;
PAS007;"A019 - DISCIPLINE GIURIDICHE ED ECONOMICHE";PAS;"Percorso abilitante speciale";;
TFA020;"A002 - ANATOMIA, FISIOPATOLOGIA OCULARE E LABORATORIO DI MISURE OFTALMICHE";TFA;"Tirocinio formativo attivo";;
TFA037;"A015 - COSTRUZIONI NAVALI E TEORIA DELLA NAVE";TFA;"Tirocinio formativo attivo";;
TFA021;"A040 -IGIENE, ANATOMIA, FISIOLOGIA, PATOLOGIA GENERALE E DELL'APPARATO MASTICATORIO";TFA;"Tirocinio formativo attivo";;
TFA022;"A011- ARTE MINERARIA";TFA;"Tirocinio formativo attivo";;
TFA023;"A054 - MINERALOGIA E GEOLOGIA";TFA;"Tirocinio formativo attivo";;
102411;"MODELLI DI VALUTAZIONE DELLE STRATEGIE APPLICATI ALLA GESTIONE DELLA SANITA'";CAFP;"Corsi di alta formazione professionale";;
M11003;"METODICHE ECOGUIDATE NELLE PROFESSIONI INFERMIERISTICHE E OSTETRICHE";M1;"Master di Primo Livello";;
009115;"ECONOMIA DEL LAVORO APPLICATA PER LO SVILUPPO";M1;"Master di Primo Livello";;
M11005;"SENOLOGIA PER LE PROFESSIONI SANITARIE";M1;"Master di Primo Livello";;
M11006;"DIDATTICA E PSICOPEDAGOGIA PER ALUNNI CON DISABILITA' SENSORIALI";M1;"Master di Primo Livello";;
PASP05;"A042 - INFORMATICA";PAS;"Percorso abilitante speciale";;
PAS029;"A546 - LINGUA E CIVILTA' STRANIERA (TEDESCO)";PAS;"Percorso abilitante speciale";;
M11010;"MANAGEMENT OF DEVELOPMENT";M1;"Master di Primo Livello";;
055502;"SCIENZE STRATEGICHE";LS;"Laurea specialistica";http://www.suiss.unito.it/do/home.pl;
M11019;"SOSTENIBILITA' SOCIO AMBIENTALE E DELLE RETI AGRO ALIMENTARI";M1;"Master di Primo Livello";;
TFA010;"A746 - LINGUA E CIVILTA' STRANIERA (ALBANESE)";TFA;"Tirocinio formativo attivo";;
PAS030;"C500 - TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI CUCINA";PAS;"Percorso abilitante speciale";;
M12010;"PRODUCT AND PROCESS MANAGEMENT";M1;"Master di Primo Livello";;
TFA053;"A074 - ZOOTECNICA E SCIENZA DELLA PRODUZIONE ANIMALE";TFA;"Tirocinio formativo attivo";;
TFA030;"A066 - TECNOLOGIA CERAMICA";TFA;"Tirocinio formativo attivo";;
TFA034;"A016 - COSTRUZIONI, TECNOLOGIA DELLE COSTRUZIONI E DISEGNO TECNICO";TFA;"Tirocinio formativo attivo";;
